fn,rmsd_all
18_0_solution_5TPY_rpr.pdb,0.0 
18_3dRNA_1_rpr.pdb,18.821 
18_3dRNA_2_rpr.pdb,19.207 
18_3dRNA_3_rpr.pdb,20.287 
18_3dRNA_4_rpr.pdb,12.449 
18_3dRNA_5_rpr.pdb,24.091 
18_Chen_1_rpr.pdb,3.74 
18_Chen_2_rpr.pdb,6.636 
18_Chen_3_rpr.pdb,9.165 
18_Chen_4_rpr.pdb,9.273 
18_Chen_5_rpr.pdb,15.848 
18_Dokholyan_1_rpr.pdb,8.44 
18_Dokholyan_2_rpr.pdb,11.954 
18_Dokholyan_3_rpr.pdb,7.903 
18_Feng_1_rpr.pdb,20.28 
18_Feng_2_rpr.pdb,21.13 
18_Feng_3_rpr.pdb,16.45 
18_Feng_4_rpr.pdb,24.924 
18_Feng_5_rpr.pdb,16.148 
18_LeeASmodel_1_rpr.pdb,23.172 
18_LeeASmodel_2_rpr.pdb,23.498 
18_LeeASmodel_3_rpr.pdb,21.425 
18_LeeASmodel_4_rpr.pdb,18.918 
18_LeeASmodel_5_rpr.pdb,18.454 
18_Lee_1_rpr.pdb,22.793 
18_Lee_2_rpr.pdb,21.159 
18_Lee_3_rpr.pdb,21.421 
18_Lee_4_rpr.pdb,22.158 
18_Lee_5_rpr.pdb,24.549 
18_RNAComposer_1_rpr.pdb,20.737 
18_RNAComposer_2_rpr.pdb,21.143 
18_RNAComposer_3_rpr.pdb,20.619 
18_RNAComposer_4_rpr.pdb,20.774 
18_RNAComposer_5_rpr.pdb,15.211 
18_RW3D_1_rpr.pdb,16.346 
18_RW3D_2_rpr.pdb,9.82 
18_RW3D_3_rpr.pdb,12.49 
18_RW3D_4_rpr.pdb,11.509 
18_RW3D_5_rpr.pdb,13.362 
18_RW3D_6_rpr.pdb,10.342 
18_RW3D_7_rpr.pdb,14.957 
18_RW3D_8_rpr.pdb,15.707 
18_RW3D_9_rpr.pdb,17.208 
18_RW3D_10_rpr.pdb,13.383 
18_Rhiju_1_rpr.pdb,5.496 
18_Rhiju_2_rpr.pdb,3.877 
18_Rhiju_3_rpr.pdb,5.633 
18_Rhiju_4_rpr.pdb,5.698 
18_Rhiju_5_rpr.pdb,10.904 
18_YagoubAli_1_rpr.pdb,18.671 
18_simRNA_1_rpr.pdb,23.141 
18_simRNA_2_rpr.pdb,10.277 
18_simRNA_3_rpr.pdb,24.633 
