target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
4_0_solution_3V7E_rpr.pdb.outCR,4_adamiak_3_rpr.pdb.outCR,0.891,0.000,0.953,0.692,0.930,0.976,0.692,0.692
4_0_solution_3V7E_rpr.pdb.outCR,4_bujnicki_1_rpr.pdb.outCR,0.973,0.000,0.989,0.923,1.000,0.977,0.923,0.923
4_0_solution_3V7E_rpr.pdb.outCR,4_0_solution_3V7E_rpr.pdb.outCR,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
4_0_solution_3V7E_rpr.pdb.outCR,4_adamiak_4_rpr.pdb.outCR,0.619,0.000,0.683,0.480,0.488,0.955,0.462,0.500
4_0_solution_3V7E_rpr.pdb.outCR,4_bujnicki_2_rpr.pdb.outCR,0.964,0.000,0.989,0.881,1.000,0.977,0.846,0.917
4_0_solution_3V7E_rpr.pdb.outCR,4_adamiak_1_rpr.pdb.outCR,0.858,0.000,0.953,0.453,0.930,0.976,0.308,0.667
4_0_solution_3V7E_rpr.pdb.outCR,4_adamiak_5_rpr.pdb.outCR,0.670,0.000,0.747,0.372,0.558,1.000,0.231,0.600
4_0_solution_3V7E_rpr.pdb.outCR,4_adamiak_2_rpr.pdb.outCR,0.898,0.000,0.953,0.702,0.930,0.976,0.615,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_bujnicki_3_rpr.pdb.outCR,0.964,0.000,0.989,0.881,1.000,0.977,0.846,0.917
4_0_solution_3V7E_rpr.pdb.outCR,4_bujnicki_4_rpr.pdb.outCR,0.964,0.000,0.989,0.881,1.000,0.977,0.846,0.917
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_1_rpr.pdb.outCR,0.964,0.000,1.000,0.846,1.000,1.000,0.846,0.846
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_4_rpr.pdb.outCR,0.955,0.000,1.000,0.801,1.000,1.000,0.769,0.833
4_0_solution_3V7E_rpr.pdb.outCR,4_bujnicki_5_rpr.pdb.outCR,0.973,0.000,0.989,0.923,1.000,0.977,0.923,0.923
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_2_rpr.pdb.outCR,0.973,0.000,1.000,0.881,1.000,1.000,0.846,0.917
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_5_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_10_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_3_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_6_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_7_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_das_1_rpr.pdb.outCR,0.965,0.000,1.000,0.859,1.000,1.000,0.923,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_das_4_rpr.pdb.outCR,0.965,0.000,1.000,0.859,1.000,1.000,0.923,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_8_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_das_2_rpr.pdb.outCR,0.965,0.000,1.000,0.859,1.000,1.000,0.923,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_das_5_rpr.pdb.outCR,0.965,0.000,1.000,0.859,1.000,1.000,0.923,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_chen_9_rpr.pdb.outCR,0.964,0.000,1.000,0.836,1.000,1.000,0.769,0.909
4_0_solution_3V7E_rpr.pdb.outCR,4_dokholyan_1_rpr.pdb.outCR,0.982,0.000,1.000,0.923,1.000,1.000,0.923,0.923
4_0_solution_3V7E_rpr.pdb.outCR,4_das_3_rpr.pdb.outCR,0.965,0.000,1.000,0.859,1.000,1.000,0.923,0.800
4_0_solution_3V7E_rpr.pdb.outCR,4_dokholyan_2_rpr.pdb.outCR,0.982,0.000,1.000,0.923,1.000,1.000,0.923,0.923
4_0_solution_3V7E_rpr.pdb.outCR,4_santalucia_1_rpr.pdb.outCR,0.973,0.000,1.000,0.889,1.000,1.000,0.923,0.857
4_0_solution_3V7E_rpr.pdb.outCR,4_major_1_rpr.pdb.outCR,0.982,0.000,1.000,0.923,1.000,1.000,0.923,0.923
4_0_solution_3V7E_rpr.pdb.outCR,4_mikolajczak_1_rpr.pdb.outCR,0.730,0.000,0.821,0.480,0.674,1.000,0.462,0.500
