target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
19_5t5a_solution_0_rpr.pdb,19_5t5a_solution_0_rpr.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19_5t5a_solution_0_rpr.pdb,19_3dRNA_1_rpr.pdb,0.75,0.77,0.75,0.47,0.61,0.93,0.33,0.67
19_5t5a_solution_0_rpr.pdb,19_Bujnicki_Human_1_rpr.pdb,0.75,0.78,0.79,0.2,0.74,0.85,0.17,0.25
19_5t5a_solution_0_rpr.pdb,19_Bujnicki_Human_5_rpr.pdb,0.75,0.78,0.76,0.29,0.74,0.77,0.17,0.5
19_5t5a_solution_0_rpr.pdb,19_3dRNA_2_rpr.pdb,0.78,0.82,0.76,0.41,0.65,0.88,0.33,0.5
19_5t5a_solution_0_rpr.pdb,19_Bujnicki_Human_2_rpr.pdb,0.74,0.77,0.77,0.2,0.74,0.81,0.17,0.25
19_5t5a_solution_0_rpr.pdb,19_Chen_Human_1_rpr.pdb,0.82,0.78,0.98,0.61,0.96,1.0,0.5,0.75
19_5t5a_solution_0_rpr.pdb,19_3dRNA_3_rpr.pdb,0.74,0.75,0.76,0.41,0.7,0.84,0.33,0.5
19_5t5a_solution_0_rpr.pdb,19_Bujnicki_Human_3_rpr.pdb,0.79,0.78,0.94,0.2,0.96,0.92,0.17,0.25
19_5t5a_solution_0_rpr.pdb,19_Chen_Human_2_rpr.pdb,0.78,0.79,0.84,0.47,0.74,0.94,0.33,0.67
19_5t5a_solution_0_rpr.pdb,19_3dRNA_4_rpr.pdb,0.71,0.74,0.73,0.24,0.61,0.88,0.17,0.33
19_5t5a_solution_0_rpr.pdb,19_Chen_Human_3_rpr.pdb,0.75,0.77,0.81,0.36,0.7,0.94,0.33,0.4
19_5t5a_solution_0_rpr.pdb,19_Bujnicki_Human_4_rpr.pdb,0.7,0.72,0.74,0.2,0.74,0.74,0.17,0.25
19_5t5a_solution_0_rpr.pdb,19_3dRNA_5_rpr.pdb,0.75,0.74,0.81,0.61,0.7,0.94,0.5,0.75
