Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
simRNA_2,15.876,22.101,0.718,0.853,-,0.674,134.4,2.96E-04,7.57,1
simRNA_3,14.879,29.429,0.506,0.341,-,0.623,105.68,3.32E-05,10.41,1
RW3D_9,18.815,40.552,0.464,0.261,0,0.599,5.99,3.58E-02,11.14,1
RW3D_7,18.323,39.786,0.461,0.261,0,0.592,6.99,1.90E-02,12.06,1
RW3D_6,17.316,37.6,0.461,0.267,0,0.599,5,4.21E-03,12.35,1
RNAComposer_Human_4,13.056,21.03,0.621,0.744,0,0.599,6.99,2.84E-07,12.45,1
RW3D_8,17.658,39.87,0.443,0.279,0,0.556,5,7.25E-03,12.53,1
RW3D_1,17.207,37.364,0.461,0.251,0,0.599,4,3.52E-03,12.76,1
RW3D_3,18.265,40.94,0.446,0.256,0,0.59,4.5,1.75E-02,12.77,1
RW3D_5,15.993,32.685,0.489,0.256,0,0.653,7.99,3.76E-04,12.91,1
RW3D_10,19.019,40.993,0.464,0.267,0,0.599,7.49,4.57E-02,13.08,1
RW3D_2,17.608,39.466,0.446,0.261,0,0.583,7.49,6.71E-03,13.65,1
RW3D_4,16.088,37.262,0.432,0.261,0,0.553,10.99,4.55E-04,13.96,1
RNAComposer_Human_3,15.18,26.288,0.577,0.685,0,0.569,7.49,6.64E-05,14.27,1
Das_Human_3,13.758,19.421,0.708,0.818,0.258,0.698,5.49,2.00E-06,14.35,1
Bujnicki_Human_1,15.203,22.041,0.69,0.669,0,0.73,1.5,6.99E-05,14.45,1
RNAComposer_Human_1,11.399,18.132,0.629,0.696,0,0.622,7.99,1.59E-09,14.47,1
Das_Human_4,12.33,16.751,0.736,0.818,0.408,0.715,12.98,3.25E-08,14.75,1
Das_Human_5,10.995,16.73,0.657,0.753,0,0.645,8.99,3.96E-10,14.75,1
Das_Human_2,10.254,14.196,0.722,0.864,0.192,0.728,9.49,2.73E-11,14.79,1
LeeServer_5,16.418,24.355,0.674,0.724,-,0.675,4.49,8.64E-04,15.19,1
simRNA_1,14.323,22.107,0.648,0.669,-,0.659,108.39,8.64E-06,15.24,1
Das_Human_1,16.1,23.609,0.682,0.8,0.333,0.646,14.48,4.66E-04,15.25,1
RNAComposer_Human_5,9.707,14.445,0.672,0.685,0.333,0.689,5.49,3.39E-12,15.4,1
RNAComposer_Human_2,17.027,28.311,0.601,0.744,0,0.581,6.99,2.59E-03,15.48,1
Bujnicki_Human_3,15.538,21.555,0.721,0.821,-,0.696,3.99,1.46E-04,15.5,1
RNAComposer_1,15.761,24.147,0.653,0.744,0.408,0.622,6.49,2.34E-04,15.94,1
RNAComposer_3,10.105,16.306,0.62,0.682,0,0.615,11.48,1.56E-11,15.97,1
RNAComposer_2,11.21,16.935,0.662,0.711,0.333,0.659,9.99,8.37E-10,16.02,1
Ding_Human_2,18.273,28.203,0.648,0.667,-,0.66,10.98,1.77E-02,16.11,1
Ding_Human_5,21.486,33.152,0.648,0.539,-,0.714,8.49,3.75E-01,16.2,1
Bujnicki_Human_2,10.322,15.362,0.672,0.682,0,0.695,4.49,3.50E-11,16.23,1
Chen_Human_4,10.587,13.92,0.761,0.934,0.408,0.696,0,9.26E-11,16.67,1
LeeServer_4,12.991,20.156,0.644,0.672,-,0.653,6.49,2.36E-07,16.69,1
Dokholyan_1,18.003,27.777,0.648,0.698,-,0.645,6.49,1.21E-02,16.77,1
Ding_Human_1,17.018,24.598,0.692,0.711,-,0.705,8.49,2.55E-03,17.09,1
Ding_Human_4,19.164,33.238,0.577,0.532,-,0.615,12.98,5.39E-02,17.11,1
RNAComposer_4,12.93,22.391,0.577,0.696,0,0.543,12.98,1.98E-07,17.34,1
Chen_Human_1,5.65,7.659,0.738,0.909,0,0.703,18.97,0.00E+00,17.59,1
RNAComposer_5,11.995,18.119,0.662,0.711,0.577,0.645,11.48,1.13E-08,17.79,1
Ding_Human_3,19.504,28.987,0.673,0.696,-,0.685,7.99,7.79E-02,17.82,1
Bujnicki_Human_5,17.275,25.022,0.69,0.669,0,0.729,1,3.94E-03,17.82,1
Chen_Human_3,15.345,24.232,0.633,0.698,0.333,0.622,0,9.58E-05,17.84,1
Bujnicki_Human_4,14.321,23.609,0.607,0.615,0,0.64,4.99,8.59E-06,19.9,1
Chen_Human_2,7.86,11.706,0.671,0.711,0.577,0.659,0.5,1.55E-15,20.33,1
LeeServer_1,15.39,25.104,0.613,0.682,0,0.616,1.5,1.06E-04,21.9,1
3dRNA_5,15.802,24.038,0.657,0.698,0.408,0.652,5.5,2.55E-04,22,1
LeeServer_3,19.816,31.804,0.623,0.653,0,0.646,1.5,1.06E-01,22.22,1
3dRNA_1,16.258,23.224,0.7,0.682,0.408,0.725,4.5,6.36E-04,22.7,1
LeeServer_2,11.623,19.806,0.587,0.636,0,0.59,1,3.37E-09,23.13,1
3dRNA_2,13.798,20.273,0.681,0.653,0,0.731,4,2.23E-06,23.31,1
3dRNA_4,13.551,21.229,0.638,0.667,0,0.667,4,1.14E-06,23.37,1
Chen_Human_5,23.466,55.604,0.422,0.286,-,0.501,19.97,7.83E-01,23.44,1
3dRNA_3,16.142,23.878,0.676,0.656,0.577,0.696,6,5.06E-04,24.62,1
