fn,rmsd_all
19_0_solution_5T5A_rpr.pdb,0.0
19_Chen_Human_1_rpr.pdb,5.53
19_Chen_Human_2_rpr.pdb,7.41
19_RNAComposer_3_rpr.pdb,9.64
19_RNAComposer_Human_5_rpr.pdb,9.86
19_Chen_Human_4_rpr.pdb,9.92
19_Das_Human_2_rpr.pdb,10.15
19_Bujnicki_Human_2_rpr.pdb,10.23
19_RNAComposer_2_rpr.pdb,10.82
19_Das_Human_5_rpr.pdb,10.89
19_LeeServer_2_rpr.pdb,10.95
19_RNAComposer_Human_1_rpr.pdb,11.23
19_RNAComposer_5_rpr.pdb,11.49
19_RNAComposer_Human_4_rpr.pdb,12.26
19_RNAComposer_4_rpr.pdb,12.64
19_LeeServer_4_rpr.pdb,12.65
19_Das_Human_4_rpr.pdb,12.91
19_3dRNA_4_rpr.pdb,13.14
19_3dRNA_2_rpr.pdb,13.25
19_Das_Human_3_rpr.pdb,13.58
19_Bujnicki_Human_1_rpr.pdb,13.74
19_SimRNA_3_rpr.pdb,13.81
19_RNAComposer_Human_3_rpr.pdb,13.99
19_SimRNA_2_rpr.pdb,14.14
19_SimRNA_1_rpr.pdb,14.43
19_Bujnicki_Human_4_rpr.pdb,14.76
19_Ding_Human_1_rpr.pdb,14.96
19_3dRNA_5_rpr.pdb,15.03
19_3dRNA_1_rpr.pdb,15.06
19_LeeServer_1_rpr.pdb,15.1
19_Chen_Human_3_rpr.pdb,15.36
19_3dRNA_3_rpr.pdb,15.42
19_RNAComposer_1_rpr.pdb,15.64
19_RW3D_5_rpr.pdb,15.65
19_RW3D_4_rpr.pdb,15.73
19_Bujnicki_Human_3_rpr.pdb,15.77
19_Ding_Human_2_rpr.pdb,15.97
19_LeeServer_5_rpr.pdb,16.19
19_RW3D_2_rpr.pdb,16.33
19_Bujnicki_Human_5_rpr.pdb,16.49
19_RW3D_6_rpr.pdb,16.6
19_Dokholyan_1_rpr.pdb,16.65
19_RW3D_1_rpr.pdb,16.76
19_Das_Human_1_rpr.pdb,16.9
19_RW3D_8_rpr.pdb,16.93
19_RNAComposer_Human_2_rpr.pdb,16.99
19_RW3D_3_rpr.pdb,17.08
19_Ding_Human_3_rpr.pdb,17.24
19_RW3D_7_rpr.pdb,17.25
19_Ding_Human_4_rpr.pdb,17.28
19_RW3D_10_rpr.pdb,17.44
19_RW3D_9_rpr.pdb,17.57
19_LeeServer_3_rpr.pdb,19.61
19_Ding_Human_5_rpr.pdb,20.13
19_Chen_Human_5_rpr.pdb,22.72
