fn,rmsd_all
17_solution_0_rpr.pdb,0.0
17_SimRNAAS2_1_rpr.pdb,5.16
17_Das_4_rpr.pdb,7.15
17_SimRNAAS2_7_rpr.pdb,7.66
17_Das_1_rpr.pdb,8.64
17_Das_8_rpr.pdb,8.7
17_Das_9_rpr.pdb,8.78
17_Chen_5_rpr.pdb,9.44
17_Bujnicki_7_rpr.pdb,10.85
17_Das_7_rpr.pdb,10.95
17_DasExtraInfo_1_rpr.pdb,11.02
17_Das_2_rpr.pdb,11.27
17_Das_6_rpr.pdb,11.52
17_Chen_2_rpr.pdb,11.62
17_Adamiak_2_rpr.pdb,11.79
17_RNAComposerAS2_3_rpr.pdb,11.92
17_RNAComposerAS2_2_rpr.pdb,12.01
17_DasExtraInfo_2_rpr.pdb,12.07
17_SimRNAAS2_6_rpr.pdb,12.2
17_Bujnicki_8_rpr.pdb,12.22
17_RNAComposerAS2_1_rpr.pdb,12.31
17_Adamiak_1_rpr.pdb,12.33
17_Adamiak_3_rpr.pdb,12.38
17_RNAComposerAS2_5_rpr.pdb,12.56
17_SimRNAAS2_8_rpr.pdb,12.76
17_RNAComposerAS2_6_rpr.pdb,12.79
17_RNAComposerAS2_7_rpr.pdb,12.83
17_Ding_7_rpr.pdb,12.86
17_DasExtraInfo_3_rpr.pdb,13.22
17_Ding_10_rpr.pdb,13.39
17_Major_10_rpr.pdb,13.4
17_RNAComposerAS2_8_rpr.pdb,13.51
17_RNAComposerAS2_4_rpr.pdb,13.52
17_Xiao_7_rpr.pdb,13.84
17_Bujnicki_5_rpr.pdb,13.95
17_Bujnicki_1_rpr.pdb,13.97
17_Bujnicki_9_rpr.pdb,13.97
17_Xiao_9_rpr.pdb,14.1
17_SimRNAAS2_9_rpr.pdb,14.28
17_Bujnicki_6_rpr.pdb,14.35
17_Bujnicki_10_rpr.pdb,14.4
17_Bujnicki_2_rpr.pdb,14.4
17_Ding_3_rpr.pdb,14.53
17_Xiao_5_rpr.pdb,14.54
17_Bujnicki_3_rpr.pdb,14.64
17_Chen_6_rpr.pdb,14.75
17_Ding_8_rpr.pdb,14.81
17_Das_3_rpr.pdb,14.9
17_Major_6_rpr.pdb,14.94
17_Xiao_1_rpr.pdb,15.01
17_Ding_1_rpr.pdb,15.02
17_Dohkolyan_3_rpr.pdb,15.02
17_SimRNAAS2_4_rpr.pdb,15.07
17_Chen_4_rpr.pdb,15.14
17_SimRNAAS1_6_rpr.pdb,15.17
17_Das_5_rpr.pdb,15.38
17_Xiao_3_rpr.pdb,15.5
17_Xiao_10_rpr.pdb,15.52
17_Chen_9_rpr.pdb,15.59
17_SimRNAAS2_3_rpr.pdb,15.59
17_RNAComposerAS2_10_rpr.pdb,15.59
17_SimRNAAS1_1_rpr.pdb,15.62
17_Ding_4_rpr.pdb,15.74
17_Xiao_8_rpr.pdb,15.93
17_Ding_5_rpr.pdb,16.01
17_Bujnicki_4_rpr.pdb,16.08
17_Ding_2_rpr.pdb,16.09
17_RNAComposerAS2_9_rpr.pdb,16.1
17_SimRNAAS2_2_rpr.pdb,16.1
17_Chen_1_rpr.pdb,16.11
17_Dohkolyan_2_rpr.pdb,16.27
17_Major_7_rpr.pdb,16.47
17_Chen_7_rpr.pdb,16.5
17_Xiao_2_rpr.pdb,16.55
17_SimRNAAS1_8_rpr.pdb,16.59
17_Major_9_rpr.pdb,16.59
17_SimRNAAS1_2_rpr.pdb,16.6
17_Chen_8_rpr.pdb,16.61
17_Major_8_rpr.pdb,16.69
17_Ding_9_rpr.pdb,16.74
17_SimRNAAS1_4_rpr.pdb,16.82
17_Major_1_rpr.pdb,16.85
17_Ding_6_rpr.pdb,16.94
17_SimRNAAS1_3_rpr.pdb,16.97
17_SimRNAAS1_5_rpr.pdb,17.05
17_Major_3_rpr.pdb,17.05
17_Xiao_6_rpr.pdb,17.26
17_Chen_3_rpr.pdb,17.35
17_Xiao_4_rpr.pdb,17.42
17_Das_10_rpr.pdb,17.43
17_RNAComposerAS1_8_rpr.pdb,17.6
17_RNAComposerAS1_3_rpr.pdb,17.95
17_Major_2_rpr.pdb,18.05
17_RNAComposerAS1_10_rpr.pdb,18.45
17_Major_5_rpr.pdb,18.46
17_SimRNAAS2_5_rpr.pdb,18.58
17_Major_4_rpr.pdb,18.67
17_RNAComposerAS1_1_rpr.pdb,18.78
17_RNAComposerAS1_6_rpr.pdb,18.91
17_Chen_10_rpr.pdb,18.99
17_SimRNAAS1_7_rpr.pdb,19.07
17_RNAComposerAS1_9_rpr.pdb,19.67
17_RNAComposerAS1_5_rpr.pdb,20.03
17_RNAComposerAS1_4_rpr.pdb,20.06
17_SimRNAAS1_9_rpr.pdb,20.54
17_RNAComposerAS1_7_rpr.pdb,20.65
17_RNAComposerAS1_2_rpr.pdb,21.58
17_Dohkolyan_1_rpr.pdb,21.78
