target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
17_solution_0_rpr.pdb,17_solution_0_rpr.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17_solution_0_rpr.pdb,17_Das_1_rpr.pdb,0.81,0.83,0.92,0.41,0.94,0.9,0.33,0.5
17_solution_0_rpr.pdb,17_Chen_2_rpr.pdb,0.77,0.79,0.84,0.38,0.89,0.8,0.22,0.67
17_solution_0_rpr.pdb,17_DasExtraInfo_1_rpr.pdb,0.76,0.78,0.84,0.41,0.89,0.8,0.33,0.5
17_solution_0_rpr.pdb,17_Das_8_rpr.pdb,0.76,0.77,0.9,0.3,0.94,0.85,0.22,0.4
17_solution_0_rpr.pdb,17_Das_4_rpr.pdb,0.76,0.78,0.86,0.33,0.89,0.84,0.22,0.5
17_solution_0_rpr.pdb,17_DasExtraInfo_2_rpr.pdb,0.76,0.77,0.86,0.38,0.89,0.84,0.22,0.67
17_solution_0_rpr.pdb,17_SimRNAAS2_1_rpr.pdb,0.75,0.78,0.93,0.13,1.0,0.86,0.11,0.14
17_solution_0_rpr.pdb,17_Das_9_rpr.pdb,0.75,0.78,0.86,0.15,0.89,0.84,0.11,0.2
17_solution_0_rpr.pdb,17_Das_7_rpr.pdb,0.75,0.78,0.83,0.33,0.83,0.83,0.22,0.5
17_solution_0_rpr.pdb,17_Das_6_rpr.pdb,0.75,0.77,0.84,0.38,0.89,0.8,0.22,0.67
17_solution_0_rpr.pdb,17_Bujnicki_6_rpr.pdb,0.75,0.76,0.84,0.47,0.89,0.8,0.22,1.0
17_solution_0_rpr.pdb,17_Bujnicki_8_rpr.pdb,0.75,0.78,0.89,0.17,0.89,0.89,0.11,0.25
17_solution_0_rpr.pdb,17_Bujnicki_7_rpr.pdb,0.74,0.75,0.89,0.19,0.89,0.89,0.11,0.33
17_solution_0_rpr.pdb,17_Das_5_rpr.pdb,0.74,0.77,0.84,0.17,0.89,0.8,0.11,0.25
17_solution_0_rpr.pdb,17_DasExtraInfo_3_rpr.pdb,0.74,0.77,0.84,0.24,0.89,0.8,0.11,0.5
17_solution_0_rpr.pdb,17_SimRNAAS2_7_rpr.pdb,0.73,0.76,0.84,0.33,0.89,0.8,0.33,0.33
17_solution_0_rpr.pdb,17_Das_2_rpr.pdb,0.73,0.76,0.86,0.15,0.89,0.84,0.11,0.2
17_solution_0_rpr.pdb,17_Chen_6_rpr.pdb,0.72,0.74,0.73,0.58,0.67,0.8,0.33,1.0
17_solution_0_rpr.pdb,17_Das_3_rpr.pdb,0.72,0.74,0.83,0.38,0.83,0.83,0.33,0.43
17_solution_0_rpr.pdb,17_SimRNAAS2_8_rpr.pdb,0.72,0.74,0.82,0.38,0.89,0.76,0.33,0.43
17_solution_0_rpr.pdb,17_Chen_9_rpr.pdb,0.71,0.72,0.86,0.19,0.83,0.88,0.11,0.33
17_solution_0_rpr.pdb,17_SimRNAAS2_2_rpr.pdb,0.71,0.73,0.77,0.38,0.89,0.67,0.22,0.67
17_solution_0_rpr.pdb,17_Bujnicki_4_rpr.pdb,0.71,0.72,0.86,0.17,0.89,0.84,0.11,0.25
17_solution_0_rpr.pdb,17_SimRNAAS2_9_rpr.pdb,0.7,0.71,0.82,0.19,0.89,0.76,0.11,0.33
17_solution_0_rpr.pdb,17_Chen_7_rpr.pdb,0.7,0.71,0.83,0.24,0.83,0.83,0.11,0.5
17_solution_0_rpr.pdb,17_SimRNAAS2_4_rpr.pdb,0.7,0.74,0.74,0.33,0.78,0.7,0.22,0.5
17_solution_0_rpr.pdb,17_SimRNAAS2_6_rpr.pdb,0.7,0.74,0.78,0.24,0.78,0.78,0.22,0.25
17_solution_0_rpr.pdb,17_Bujnicki_3_rpr.pdb,0.7,0.73,0.81,0.17,0.83,0.79,0.11,0.25
17_solution_0_rpr.pdb,17_Chen_1_rpr.pdb,0.7,0.72,0.8,0.19,0.78,0.82,0.11,0.33
17_solution_0_rpr.pdb,17_Chen_4_rpr.pdb,0.7,0.72,0.76,0.5,0.67,0.86,0.33,0.75
17_solution_0_rpr.pdb,17_SimRNAAS1_2_rpr.pdb,0.7,0.77,0.8,0.2,0.78,0.82,0.22,0.18
17_solution_0_rpr.pdb,17_SimRNAAS1_3_rpr.pdb,0.69,0.75,0.74,0.22,0.72,0.76,0.22,0.22
17_solution_0_rpr.pdb,17_SimRNAAS1_6_rpr.pdb,0.69,0.75,0.77,0.21,0.72,0.81,0.22,0.2
17_solution_0_rpr.pdb,17_Bujnicki_2_rpr.pdb,0.69,0.69,0.84,0.17,0.89,0.8,0.11,0.25
17_solution_0_rpr.pdb,17_Bujnicki_1_rpr.pdb,0.69,0.72,0.82,0.15,0.89,0.76,0.11,0.2
17_solution_0_rpr.pdb,17_SimRNAAS2_5_rpr.pdb,0.69,0.72,0.77,0.27,0.72,0.81,0.22,0.33
