target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
24_0_solution_6ol3.pdb.outCR,24_DasTFN_5_rpr.pdb.outCR,0.468,0.000,0.952,0.436,0.929,0.975,0.571,0.333
24_0_solution_6ol3.pdb.outCR,24_0_solution_6ol3.pdb.outCR,0.550,0.000,1.000,1.000,1.000,1.000,1.000,1.000
24_0_solution_6ol3.pdb.outCR,24_Bujnicki_3_rpr.pdb.outCR,0.493,0.094,0.927,0.617,0.905,0.950,0.571,0.667
24_0_solution_6ol3.pdb.outCR,24_3dRNA_1_rpr.pdb.outCR,0.460,0.000,0.886,0.571,0.786,1.000,0.571,0.571
24_0_solution_6ol3.pdb.outCR,24_DasTFN_6_rpr.pdb.outCR,0.467,0.000,0.939,0.456,0.905,0.974,0.571,0.364
24_0_solution_6ol3.pdb.outCR,24_Bujnicki_4_rpr.pdb.outCR,0.486,0.000,0.941,0.598,0.952,0.930,0.714,0.500
24_0_solution_6ol3.pdb.outCR,24_3dRNA_2_rpr.pdb.outCR,0.471,0.000,0.886,0.655,0.786,1.000,0.429,1.000
24_0_solution_6ol3.pdb.outCR,24_DasTFN_7_rpr.pdb.outCR,0.478,0.000,0.952,0.478,0.929,0.975,0.571,0.400
24_0_solution_6ol3.pdb.outCR,24_Bujnicki_5_rpr.pdb.outCR,0.489,0.000,0.929,0.668,0.929,0.929,0.714,0.625
24_0_solution_6ol3.pdb.outCR,24_3dRNA_3_rpr.pdb.outCR,0.486,0.000,0.951,0.463,0.905,1.000,0.429,0.500
24_0_solution_6ol3.pdb.outCR,24_DasTFN_8_rpr.pdb.outCR,0.473,0.000,0.952,0.456,0.929,0.975,0.571,0.364
24_0_solution_6ol3.pdb.outCR,24_DasTFN_10_rpr.pdb.outCR,0.458,0.000,0.951,0.404,0.905,1.000,0.571,0.286
24_0_solution_6ol3.pdb.outCR,24_3dRNA_4_rpr.pdb.outCR,0.503,0.000,0.951,0.655,0.905,1.000,0.429,1.000
