fn,rmsd_all
24_0_solution_6ol3.pdb,0
24_DasTFN_10_rpr.pdb,4.82
24_DasTFN_6_rpr.pdb,6.58
24_FARFAR2_9_rpr.pdb,7.68
24_DasTFN_9_rpr.pdb,8.93
24_FARFAR2_6_rpr.pdb,8.93
24_Bujnicki_2_rpr.pdb,9.75
24_RNAComposerHuman_5_rpr.pdb,9.85
24_FARFAR2_10_rpr.pdb,10.12
24_RNAComposer_2_rpr.pdb,10.24
24_RNAComposerHuman_1_rpr.pdb,10.27
24_iFoldRNA_2_rpr.pdb,10.28
24_DasTFN_8_rpr.pdb,10.63
24_Bujnicki_3_rpr.pdb,10.77
24_DasTFN_1_rpr.pdb,10.9
24_RNAComposerHuman_2_rpr.pdb,10.95
24_Vfold3D_5_rpr.pdb,11.06
24_FARFAR2_7_rpr.pdb,12.19
24_Vfold3D_2_rpr.pdb,12.79
24_RNAComposer_4_rpr.pdb,12.87
24_FARFAR2_8_rpr.pdb,12.91
24_RNAComposer_3_rpr.pdb,13.03
24_RNAComposer_1_rpr.pdb,13.3
24_DasTFN_2_rpr.pdb,13.33
24_FARFAR2_4_rpr.pdb,13.54
24_Das_7_rpr.pdb,13.61
24_VfoldLA_5_rpr.pdb,13.7
24_SimRNA_3_rpr.pdb,13.74
24_Das_9_rpr.pdb,14.13
24_Vfold3D_4_rpr.pdb,14.2
24_VfoldLA_4_rpr.pdb,14.33
24_RNAComposerHuman_3_rpr.pdb,14.35
24_Das_5_rpr.pdb,14.36
24_VfoldLA_3_rpr.pdb,14.36
24_Bujnicki_5_rpr.pdb,14.57
24_Das_6_rpr.pdb,14.58
24_Vfold3D_1_rpr.pdb,14.72
24_Das_8_rpr.pdb,14.92
24_Das_4_rpr.pdb,15
24_VfoldLA_1_rpr.pdb,15.03
24_RNAComposerHuman_4_rpr.pdb,15.04
24_Bujnicki_1_rpr.pdb,15.15
24_VfoldLA_2_rpr.pdb,15.37
24_SimRNA_5_rpr.pdb,15.43
24_Vfold3D_3_rpr.pdb,15.47
24_3dRNA_1_rpr.pdb,15.6
24_3dRNA_4_rpr.pdb,15.71
24_Das_1_rpr.pdb,15.92
24_Das_10_rpr.pdb,16.46
24_Das_3_rpr.pdb,16.76
24_DasTFN_3_rpr.pdb,16.78
24_DasTFN_7_rpr.pdb,16.78
24_FARFAR2_1_rpr.pdb,16.78
24_FARFAR2_2_rpr.pdb,16.88
24_RNAComposer_5_rpr.pdb,17.1
24_Das_2_rpr.pdb,17.25
24_Bujnicki_4_rpr.pdb,18.29
24_3dRNA_3_rpr.pdb,18.32
24_FARFAR2_5_rpr.pdb,18.38
24_3dRNA_5_rpr.pdb,18.4
24_FARFAR2_3_rpr.pdb,19.06
24_Ding_5_rpr.pdb,19.18
24_Ding_6_rpr.pdb,19.22
24_iFoldRNA_1_rpr.pdb,19.38
24_DasTFN_5_rpr.pdb,19.6
24_Ding_10_rpr.pdb,19.66
24_3dRNA_2_rpr.pdb,19.86
24_Ding_1_rpr.pdb,20.05
24_iFoldRNA_3_rpr.pdb,20.43
24_Ding_3_rpr.pdb,20.86
24_Ding_2_rpr.pdb,20.89
24_SimRNA_1_rpr.pdb,21.2
24_Ding_9_rpr.pdb,21.21
24_DasTFN_4_rpr.pdb,21.93
24_iFoldRNA_5_rpr.pdb,23.21
24_Ding_8_rpr.pdb,24
24_SimRNA_2_rpr.pdb,24.79
24_Kollmann_2_rpr.pdb,25.34
24_SimRNA_4_rpr.pdb,26.21
24_Ding_7_rpr.pdb,26.34
24_iFoldRNA_4_rpr.pdb,27.16
24_Ding_4_rpr.pdb,27.76
24_Kollmann_7_rpr.pdb,29.04
24_Kollmann_9_rpr.pdb,29.66
24_Kollmann_10_rpr.pdb,29.67
24_Kollmann_1_rpr.pdb,30.39
24_Kollmann_6_rpr.pdb,30.64
24_Kollmann_4_rpr.pdb,32.2
24_Kollmann_8_rpr.pdb,32.67
24_Kollmann_5_rpr.pdb,32.68
24_Kollmann_3_rpr.pdb,33.01
