Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
3dRNAAS2_10,25.72,38.07,0.676,0.776,0.447,0.662,34.17,9.01E-01,16.29,1
SimRNAAS2_10,19.431,28.233,0.688,0.792,0.224,0.692,72.86,1.37E-02,11.57,1
SimRNAAS1_10,19.401,29.683,0.654,0.618,0.258,0.707,107.22,1.32E-02,14.95,1
RW2DAS1_10,17.039,26.05,0.654,0.761,0,0.667,2.73,2.05E-04,12.76,1
RW2DAS2_10,14.403,19.294,0.747,0.792,0.2,0.782,7.73,2.89E-07,12.65,1
Chen_10,10.099,14.413,0.701,0.724,0.447,0.718,0.91,7.37E-14,14.96,1
3dRNAAS2_9,25.669,37.995,0.676,0.776,0.447,0.662,34.62,8.96E-01,16.52,1
SimRNAAS1_9,19.078,27.285,0.699,0.743,0.316,0.718,64.78,8.17E-03,14.5,1
RW2DAS2_9,14.639,20.762,0.705,0.776,0.447,0.704,9.1,5.65E-07,12.02,1
Chen_9,14.488,22.235,0.652,0.779,0.447,0.624,0.91,3.69E-07,20.54,1
SimRNAAS2_9,13.842,20.113,0.688,0.792,0.2,0.698,84.58,5.49E-08,14.48,1
RW2DAS1_9,13.54,19.672,0.688,0.776,0,0.71,7.28,2.15E-08,11.48,1
3dRNAAS2_8,25.75,37.8,0.681,0.776,0.447,0.671,34.62,9.04E-01,16.51,1
SimRNAAS2_8,21.993,31.156,0.706,0.759,0.224,0.731,59.49,2.17E-01,15.04,1
SimRNAAS1_8,19.922,30.081,0.662,0.708,0.258,0.68,68.27,2.67E-02,14,1
RW2DAS1_8,19.06,29.286,0.651,0.761,0.224,0.648,8.64,7.95E-03,11.29,1
RW2DAS2_8,13.349,20.142,0.663,0.761,0.258,0.66,5,1.17E-08,13.55,1
Chen_8,12.684,19.275,0.658,0.759,0.316,0.648,1.36,1.31E-09,17.47,1
3dRNAAS2_7,25.644,37.15,0.69,0.776,0.447,0.684,32.8,8.94E-01,15.57,1
SimRNAAS1_7,18.257,28.332,0.644,0.657,0.224,0.685,70.55,2.14E-03,15.19,1
RW2DAS1_7,13.861,20.785,0.667,0.792,0,0.673,4.09,5.81E-08,12.49,1
RW2DAS2_7,13.68,21.066,0.649,0.747,0,0.661,10.46,3.33E-08,12.35,1
Chen_7,12.393,18.39,0.674,0.759,-,0.68,3.64,4.82E-10,15.7,1
SimRNAAS2_7,9.34,14.486,0.645,0.792,0.316,0.616,81.09,2.83E-15,12.53,1
3dRNAAS2_6,25.705,38.048,0.676,0.776,0.447,0.662,31.89,9.00E-01,15.96,1
SimRNAAS1_6,22.155,49.523,0.447,0.099,0,0.616,97.77,2.45E-01,13.81,1
SimRNAAS2_6,20.411,29.634,0.689,0.792,0.224,0.695,78.82,4.84E-02,14.3,1
RW2DAS2_6,17.945,26.728,0.671,0.761,0.258,0.673,7.28,1.22E-03,13.32,1
RW2DAS1_6,14.415,21.623,0.667,0.792,0,0.667,5,3.00E-07,12.49,1
Chen_6,8.867,12.498,0.709,0.827,0.316,0.698,0.46,3.33E-16,16.46,1
3dRNAAS2_5,25.657,37.472,0.685,0.776,0.447,0.676,32.35,8.95E-01,15.86,1
SimRNAAS1_5,20.891,34.442,0.607,0.545,0.316,0.654,85.23,8.17E-02,14.96,1
SimRNAAS2_5,19.992,28.321,0.706,0.792,0.224,0.719,80.15,2.91E-02,14.39,1
Chen_5,17.007,24.193,0.703,0.776,0.447,0.7,0,1.91E-04,13.95,1
RW2DAS1_5,11.251,15.95,0.705,0.792,0.258,0.71,1.82,7.41E-12,12.47,1
RW2DAS2_5,10.893,16.436,0.663,0.776,0.224,0.66,9.55,1.85E-12,13.09,1
3dRNAAS2_4,25.644,37.957,0.676,0.776,0.447,0.662,32.8,8.94E-01,15.4,1
SimRNAAS1_4,24.154,46.13,0.524,0.253,0.258,0.655,88.76,6.62E-01,14.87,1
RW2DAS1_4,13.496,21.017,0.642,0.747,0,0.667,5.46,1.87E-08,12.65,1
SimRNAAS2_4,11.361,16.593,0.685,0.809,0.258,0.675,63.21,1.13E-11,14.48,1
Chen_4,10.994,14.623,0.752,0.809,0.632,0.746,0,2.75E-12,16.87,1
RW2DAS2_4,10.162,15.237,0.667,0.761,0,0.686,12.74,9.57E-14,13.5,1
3dRNAAS2_3,25.673,37.688,0.681,0.776,0.447,0.671,32.8,8.97E-01,15.56,1
SimRNAAS2_3,19.784,28.569,0.692,0.743,0.258,0.709,85.12,2.23E-02,14.04,1
SimRNAAS1_3,17.02,46.952,0.362,0.099,0,0.525,78.53,1.97E-04,14.54,1
RW2DAS2_3,16.264,24.952,0.652,0.721,0,0.679,9.1,3.68E-05,12.36,1
RW2DAS1_3,14.221,20.662,0.688,0.776,0.169,0.719,5.46,1.70E-07,12.58,1
Chen_3,9.115,11.621,0.784,0.842,0.671,0.778,0.45,1.05E-15,13.37,1
3dRNAAS2_2,25.641,37.45,0.685,0.776,0.447,0.676,33.71,8.93E-01,16.48,1
SimRNAAS1_2,20.674,33.51,0.617,0.556,0.258,0.677,96,6.50E-02,13.88,1
SimRNAAS2_2,18.702,26.041,0.718,0.776,0.316,0.729,73.18,4.53E-03,13.67,1
Chen_2,16.479,23.647,0.697,0.809,0.258,0.692,0,6.03E-05,12.88,1
RW2DAS2_2,16.389,24.25,0.676,0.776,0.224,0.679,7.28,4.91E-05,13.86,1
RW2DAS1_2,14.758,20.678,0.714,0.809,0,0.734,5.46,7.90E-07,11.95,1
RNAComposerAS2_2,8.937,12.071,0.74,0.825,-,0.751,9.57,4.44E-16,11.7,1
RNAComposerAS1_2,8.766,10.816,0.81,0.842,0.447,0.836,5.47,2.22E-16,10.82,1
3dRNAAS2_1,25.712,37.745,0.681,0.776,0.447,0.671,35.08,9.00E-01,16.52,1
RW2DAS1_1,16.062,22.381,0.718,0.792,0.224,0.734,3.64,2.28E-05,12.1,1
SimRNAAS2_1,14.99,21.118,0.71,0.792,0.2,0.731,38.25,1.49E-06,14.46,1
RW2DAS2_1,12.08,16.925,0.714,0.761,0.258,0.736,10.46,1.60E-10,12.37,1
Chen_1,9.967,13.59,0.733,0.776,0.316,0.751,0.45,4.23E-14,13.97,1
RNAComposerAS2_1,9.009,12.168,0.74,0.842,0,0.751,10.48,6.66E-16,11.42,1
RNAComposerAS1_1,8.472,10.009,0.846,0.842,0.516,0.879,5.93,5.55E-17,10.46,1
SimRNAAS1_1,7.121,10.41,0.684,0.728,0.224,0.71,94.72,0.00E+00,12.82,1
