fn,rmsd_all
15_solution_0_rpr.pdb,-1.0
15_5di4_reconstructed.pdb,0.0
15_Adamiak_8_rpr.pdb,4.62
15_Adamiak_10_rpr.pdb,4.74
15_RNAComposerAS1_1_rpr.pdb,5.3
15_Adamiak_2_rpr.pdb,5.3
15_RNAComposerAS1_2_rpr.pdb,5.51
15_Adamiak_3_rpr.pdb,5.51
15_Chen_3_rpr.pdb,5.82
15_Chen_6_rpr.pdb,5.87
15_Adamiak_7_rpr.pdb,5.93
15_RNAComposerAS2_2_rpr.pdb,5.94
15_Adamiak_5_rpr.pdb,5.94
15_SimRNAAS1_1_rpr.pdb,5.95
15_RNAComposerAS2_1_rpr.pdb,6.04
15_Adamiak_4_rpr.pdb,6.04
15_Adamiak_9_rpr.pdb,6.05
15_Adamiak_6_rpr.pdb,6.16
15_Adamiak_1_rpr.pdb,7.31
15_Chen_1_rpr.pdb,7.83
15_Chen_10_rpr.pdb,8.38
15_Chen_4_rpr.pdb,8.87
15_SimRNAAS2_7_rpr.pdb,9.04
15_SimRNAAS2_4_rpr.pdb,9.46
15_RW3DAS2_5_rpr.pdb,9.8
15_Chen_7_rpr.pdb,9.9
15_RW3DAS2_1_rpr.pdb,10.24
15_RW3DAS2_4_rpr.pdb,10.67
15_Chen_8_rpr.pdb,11.22
15_RW3DAS1_5_rpr.pdb,12.08
15_SimRNAAS2_9_rpr.pdb,12.27
15_Chen_9_rpr.pdb,12.44
15_RW3DAS2_8_rpr.pdb,12.92
15_RW3DAS2_7_rpr.pdb,13.04
15_RW3DAS2_9_rpr.pdb,13.32
15_RW3DAS2_10_rpr.pdb,13.61
15_SimRNAAS2_1_rpr.pdb,13.67
15_RW3DAS1_4_rpr.pdb,14.43
15_RW3DAS1_3_rpr.pdb,14.68
15_RW3DAS1_9_rpr.pdb,14.9
15_RW3DAS1_7_rpr.pdb,15.0
15_RW3DAS1_6_rpr.pdb,15.22
15_Chen_2_rpr.pdb,16.05
15_RW3DAS2_3_rpr.pdb,16.41
15_RW3DAS1_2_rpr.pdb,16.57
15_Chen_5_rpr.pdb,16.61
15_RW3DAS2_2_rpr.pdb,16.79
15_RW3DAS1_1_rpr.pdb,17.15
15_SimRNAAS1_3_rpr.pdb,17.51
15_SimRNAAS1_9_rpr.pdb,17.71
15_SimRNAAS1_7_rpr.pdb,18.17
15_RW3DAS1_10_rpr.pdb,18.34
15_SimRNAAS2_2_rpr.pdb,18.38
15_RW3DAS2_6_rpr.pdb,19.22
15_SimRNAAS2_5_rpr.pdb,19.56
15_SimRNAAS2_10_rpr.pdb,19.86
15_SimRNAAS2_3_rpr.pdb,19.88
15_SimRNAAS1_10_rpr.pdb,20.25
15_SimRNAAS2_6_rpr.pdb,20.32
15_SimRNAAS1_5_rpr.pdb,20.36
15_SimRNAAS1_2_rpr.pdb,20.39
15_RW3DAS1_8_rpr.pdb,20.77
15_SimRNAAS1_8_rpr.pdb,21.13
15_SimRNAAS2_8_rpr.pdb,21.92
15_SimRNAAS1_6_rpr.pdb,22.11
15_SimRNAAS1_4_rpr.pdb,22.9
15_3dRNAAS2_2_rpr.pdb,24.98
15_3dRNAAS2_4_rpr.pdb,24.99
15_3dRNAAS2_5_rpr.pdb,25.0
15_3dRNAAS2_7_rpr.pdb,25.0
15_3dRNAAS2_9_rpr.pdb,25.01
15_3dRNAAS2_3_rpr.pdb,25.01
15_3dRNAAS2_6_rpr.pdb,25.02
15_3dRNAAS2_10_rpr.pdb,25.05
15_3dRNAAS2_1_rpr.pdb,25.08
15_3dRNAAS2_8_rpr.pdb,25.15
