target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
15_solution_0_rpr.pdb,15_solution_0_rpr.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15_solution_0_rpr.pdb,15_Chen_3_rpr.pdb,0.84,0.85,0.83,0.67,0.94,0.73,0.75,0.6
15_solution_0_rpr.pdb,15_RNAComposerAS1_2_rpr.pdb,0.83,0.83,0.86,0.75,1.0,0.74,0.75,0.75
15_solution_0_rpr.pdb,15_Adamiak_3_rpr.pdb,0.83,0.83,0.86,0.75,1.0,0.74,0.75,0.75
15_solution_0_rpr.pdb,15_RNAComposerAS1_1_rpr.pdb,0.82,0.81,0.86,0.75,1.0,0.74,0.75,0.75
15_solution_0_rpr.pdb,15_Adamiak_2_rpr.pdb,0.82,0.81,0.86,0.75,1.0,0.74,0.75,0.75
15_solution_0_rpr.pdb,15_Adamiak_8_rpr.pdb,0.81,0.83,0.84,0.5,1.0,0.71,0.25,1.0
15_solution_0_rpr.pdb,15_Adamiak_10_rpr.pdb,0.8,0.81,0.84,0.35,1.0,0.71,0.25,0.5
15_solution_0_rpr.pdb,15_RW3DAS2_10_rpr.pdb,0.8,0.83,0.81,0.45,0.94,0.7,0.5,0.4
15_solution_0_rpr.pdb,15_Chen_4_rpr.pdb,0.8,0.81,0.85,0.58,0.94,0.76,0.5,0.67
15_solution_0_rpr.pdb,15_Chen_1_rpr.pdb,0.79,0.8,0.79,0.58,0.88,0.71,0.5,0.67
15_solution_0_rpr.pdb,15_Chen_5_rpr.pdb,0.79,0.8,0.79,0.58,0.88,0.71,0.5,0.67
15_solution_0_rpr.pdb,15_RNAComposerAS2_2_rpr.pdb,0.78,0.77,0.84,0.71,1.0,0.71,0.5,1.0
15_solution_0_rpr.pdb,15_RW3DAS2_1_rpr.pdb,0.78,0.78,0.81,0.67,0.94,0.7,0.75,0.6
15_solution_0_rpr.pdb,15_Adamiak_4_rpr.pdb,0.78,0.76,0.86,0.71,1.0,0.74,0.5,1.0
15_solution_0_rpr.pdb,15_RNAComposerAS2_1_rpr.pdb,0.78,0.76,0.86,0.71,1.0,0.74,0.5,1.0
15_solution_0_rpr.pdb,15_RW3DAS1_1_rpr.pdb,0.78,0.79,0.83,0.41,0.94,0.73,0.5,0.33
