fn,rmsd_all
20_solution_0.pdb,0
20_Bujnicki_4.pdb,4.71
20_Bujnicki_1.pdb,5.13
20_Bujnicki_5.pdb,5.13
20_Das_2.pdb,5.96
20_Bujnicki_3.pdb,6.44
20_Bujnicki_2.pdb,6.77
20_Das_1.pdb,6.77
20_RNAComposerHuman_5.pdb,6.86
20_Das_3.pdb,6.87
20_Das_4.pdb,9.36
20_RNAComposer_4.pdb,11.26
20_RNAComposerHuman_1.pdb,11.85
20_Xiao3_5.pdb,12.45
20_RNAComposer_3.pdb,12.9
20_RNAComposer_5.pdb,12.99
20_RNAComposerHuman_4.pdb,13.98
20_RNAComposerHuman_2.pdb,15.34
20_RW3D_8.pdb,15.93
20_Das_5.pdb,16.13
20_RNAComposer_2.pdb,16.19
20_RW3D_9.pdb,16.24
20_RW3D_3.pdb,16.3
20_RW3D_7.pdb,16.41
20_RW3D_4.pdb,16.51
20_RNAComposer_1.pdb,16.73
20_RW3D_10.pdb,16.83
20_RNAComposerHuman_3.pdb,16.97
20_RW3D_1.pdb,17.24
20_RW3D_2.pdb,17.48
20_Xiao3_1.pdb,17.96
20_simRNA_1.pdb,18.07
20_Xiao3_3.pdb,18.54
20_RW3D_5.pdb,18.57
20_RW3D_6.pdb,18.86
20_Xiao3_4.pdb,19.37
20_Xiao3_2.pdb,19.78
20_simRNA_4.pdb,20.15
20_simRNA_5.pdb,20.42
20_simRNA_3.pdb,22.17
20_simRNA_2.pdb,23.77
