target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
20_solution_0.pdb,20_solution_0.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20_solution_0.pdb,20_Bujnicki_1.pdb,0.9,0.9,0.96,0.67,0.92,1.0,0.67,0.67
20_solution_0.pdb,20_Bujnicki_2.pdb,0.89,0.88,0.98,0.62,0.96,1.0,0.67,0.57
20_solution_0.pdb,20_Bujnicki_3.pdb,0.88,0.86,0.98,0.61,0.96,1.0,0.5,0.75
20_solution_0.pdb,20_RNAComposerHuman_5.pdb,0.86,0.82,1.0,0.71,1.0,1.0,0.5,1.0
20_solution_0.pdb,20_Bujnicki_4.pdb,0.85,0.85,0.91,0.55,0.88,0.96,0.5,0.6
20_solution_0.pdb,20_Das_3.pdb,0.85,0.82,0.98,0.67,0.96,1.0,0.67,0.67
20_solution_0.pdb,20_Bujnicki_5.pdb,0.85,0.84,0.98,0.41,0.96,1.0,0.33,0.5
20_solution_0.pdb,20_Das_2.pdb,0.85,0.82,0.91,0.83,0.88,0.96,0.83,0.83
20_solution_0.pdb,20_Das_1.pdb,0.85,0.83,0.96,0.67,0.92,1.0,0.67,0.67
20_solution_0.pdb,20_RNAComposer_2.pdb,0.84,0.81,1.0,0.55,1.0,1.0,0.5,0.6
20_solution_0.pdb,20_RNAComposer_5.pdb,0.84,0.82,0.96,0.61,0.92,1.0,0.5,0.75
20_solution_0.pdb,20_Das_5.pdb,0.82,0.8,0.94,0.61,0.88,1.0,0.5,0.75
20_solution_0.pdb,20_RNAComposer_4.pdb,0.82,0.78,0.98,0.61,0.96,1.0,0.5,0.75
20_solution_0.pdb,20_RW3D_3.pdb,0.82,0.79,1.0,0.5,1.0,1.0,0.5,0.5
20_solution_0.pdb,20_RW3D_8.pdb,0.81,0.78,0.96,0.55,0.96,0.96,0.5,0.6
20_solution_0.pdb,20_RNAComposerHuman_2.pdb,0.81,0.76,1.0,0.47,1.0,1.0,0.33,0.67
20_solution_0.pdb,20_RNAComposer_3.pdb,0.81,0.78,0.98,0.41,0.96,1.0,0.33,0.5
20_solution_0.pdb,20_Das_4.pdb,0.8,0.76,0.96,0.61,0.92,1.0,0.5,0.75
20_solution_0.pdb,20_RW3D_1.pdb,0.8,0.78,1.0,0.18,1.0,1.0,0.17,0.2
20_solution_0.pdb,20_RW3D_7.pdb,0.8,0.76,1.0,0.46,1.0,1.0,0.5,0.43
20_solution_0.pdb,20_RW3D_6.pdb,0.8,0.77,1.0,0.33,1.0,1.0,0.33,0.33
20_solution_0.pdb,20_RNAComposer_1.pdb,0.8,0.74,1.0,0.62,1.0,1.0,0.67,0.57
20_solution_0.pdb,20_RW3D_5.pdb,0.79,0.76,1.0,0.33,1.0,1.0,0.33,0.33
20_solution_0.pdb,20_RNAComposerHuman_1.pdb,0.79,0.75,0.92,0.61,0.92,0.92,0.5,0.75
20_solution_0.pdb,20_RW3D_2.pdb,0.79,0.76,1.0,0.33,1.0,1.0,0.33,0.33
20_solution_0.pdb,20_RNAComposerHuman_4.pdb,0.79,0.75,0.92,0.67,0.92,0.92,0.67,0.67
20_solution_0.pdb,20_RNAComposerHuman_3.pdb,0.79,0.76,0.92,0.67,0.92,0.92,0.67,0.67
20_solution_0.pdb,20_RW3D_4.pdb,0.78,0.76,1.0,0.18,1.0,1.0,0.17,0.2
20_solution_0.pdb,20_RW3D_9.pdb,0.78,0.75,1.0,0.18,1.0,1.0,0.17,0.2
20_solution_0.pdb,20_RW3D_10.pdb,0.78,0.74,1.0,0.33,1.0,1.0,0.33,0.33
20_solution_0.pdb,20_Xiao3_4.pdb,0.75,0.77,0.76,0.47,0.58,1.0,0.33,0.67
20_solution_0.pdb,20_Xiao3_5.pdb,0.75,0.77,0.82,0.24,0.67,1.0,0.17,0.33
20_solution_0.pdb,20_Xiao3_2.pdb,0.72,0.76,0.71,0.36,0.5,1.0,0.33,0.4
20_solution_0.pdb,20_Xiao3_3.pdb,0.71,0.74,0.74,0.24,0.54,1.0,0.17,0.33
20_solution_0.pdb,20_Xiao3_1.pdb,0.71,0.7,0.84,0.24,0.71,1.0,0.17,0.33
20_solution_0.pdb,20_simRNA_4.pdb,0.56,0.66,0.38,0.17,0.38,0.39,0.17,0.17
20_solution_0.pdb,20_simRNA_2.pdb,0.54,0.69,0.18,0.0,0.17,0.19,0.0,0.0
20_solution_0.pdb,20_simRNA_5.pdb,0.54,0.69,0.22,0.0,0.21,0.23,0.0,0.0
20_solution_0.pdb,20_simRNA_1.pdb,0.43,0.62,0.0,0.0,0.0,0.0,0.0,0.0
20_solution_0.pdb,20_simRNA_3.pdb,0.42,0.6,0.0,0.0,0.0,0.0,0.0,0.0
