target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
21_solution_2_rpr.pdb,21_solution_2_rpr.pdb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21_solution_2_rpr.pdb,21_DasLORES_1_rpr.pdb,0.76,0.8,0.91,0.32,0.91,0.91,0.25,0.4
21_solution_2_rpr.pdb,21_Das_5_rpr.pdb,0.75,0.74,0.91,0.59,0.91,0.91,0.62,0.56
21_solution_2_rpr.pdb,21_DasLORES_2_rpr.pdb,0.73,0.74,0.91,0.35,0.91,0.91,0.25,0.5
21_solution_2_rpr.pdb,21_ChenHighLig_2_rpr.pdb,0.72,0.75,0.91,0.18,0.91,0.91,0.12,0.25
21_solution_2_rpr.pdb,21_ChenLowLig_2_rpr.pdb,0.72,0.75,0.91,0.18,0.91,0.91,0.12,0.25
21_solution_2_rpr.pdb,21_ChenHighLig_5_rpr.pdb,0.69,0.7,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_ChenLowLig_5_rpr.pdb,0.69,0.7,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_ChenLowLig_1_rpr.pdb,0.69,0.72,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_ChenHighLig_1_rpr.pdb,0.69,0.72,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_ChenLowLig_4_rpr.pdb,0.67,0.68,0.86,0.32,0.82,0.9,0.25,0.4
21_solution_2_rpr.pdb,21_ChenHighLig_4_rpr.pdb,0.67,0.68,0.86,0.32,0.82,0.9,0.25,0.4
21_solution_2_rpr.pdb,21_Das_2_rpr.pdb,0.65,0.7,0.91,0.11,0.91,0.91,0.12,0.09
21_solution_2_rpr.pdb,21_Adamiak_4_rpr.pdb,0.64,0.57,0.91,0.61,0.91,0.91,0.38,1.0
21_solution_2_rpr.pdb,21_Das_4_rpr.pdb,0.64,0.68,0.87,0.13,0.91,0.83,0.12,0.14
21_solution_2_rpr.pdb,21_DasLORES_4_rpr.pdb,0.63,0.65,0.87,0.0,0.91,0.83,0.0,0.0
21_solution_2_rpr.pdb,21_ChenHighLig_3_rpr.pdb,0.62,0.64,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_ChenLowLig_3_rpr.pdb,0.62,0.64,0.91,0.0,0.91,0.91,0.0,0.0
21_solution_2_rpr.pdb,21_RNAComposer_4_rpr.pdb,0.62,0.57,0.95,0.0,0.91,1.0,0.0,0.0
21_solution_2_rpr.pdb,21_RNAComposer_3_rpr.pdb,0.61,0.56,0.95,0.0,0.91,1.0,0.0,0.0
21_solution_2_rpr.pdb,21_Das_1_rpr.pdb,0.61,0.65,0.91,0.11,0.91,0.91,0.12,0.1
21_solution_2_rpr.pdb,21_RW3D_9_rpr.pdb,0.6,0.7,0.55,0.14,0.55,0.55,0.12,0.17
21_solution_2_rpr.pdb,21_DasLORES_5_rpr.pdb,0.6,0.6,0.87,0.0,0.91,0.83,0.0,0.0
21_solution_2_rpr.pdb,21_Adamiak_3_rpr.pdb,0.59,0.48,0.91,0.61,0.91,0.91,0.38,1.0
21_solution_2_rpr.pdb,21_DasLORES_3_rpr.pdb,0.59,0.59,0.84,0.0,0.91,0.77,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_6_rpr.pdb,0.59,0.68,0.55,0.16,0.55,0.55,0.12,0.2
21_solution_2_rpr.pdb,21_RW3D_3_rpr.pdb,0.58,0.68,0.55,0.13,0.55,0.55,0.12,0.14
21_solution_2_rpr.pdb,21_Adamiak_5_rpr.pdb,0.58,0.5,0.91,0.35,0.91,0.91,0.12,1.0
21_solution_2_rpr.pdb,21_3dRNA_4_rpr.pdb,0.58,0.63,0.64,0.0,0.55,0.75,0.0,0.0
21_solution_2_rpr.pdb,21_Adamiak_1_rpr.pdb,0.57,0.5,0.91,0.35,0.91,0.91,0.12,1.0
21_solution_2_rpr.pdb,21_simRNA_4_rpr.pdb,0.57,0.68,0.47,0.0,0.55,0.4,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_10_rpr.pdb,0.56,0.68,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_3dRNA_5_rpr.pdb,0.56,0.64,0.55,0.0,0.55,0.55,0.0,0.0
21_solution_2_rpr.pdb,21_Das_3_rpr.pdb,0.56,0.53,0.91,0.24,0.91,0.91,0.25,0.22
21_solution_2_rpr.pdb,21_RW3D_4_rpr.pdb,0.55,0.66,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_8_rpr.pdb,0.55,0.65,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_Adamiak_2_rpr.pdb,0.55,0.45,0.87,0.5,0.91,0.83,0.25,1.0
21_solution_2_rpr.pdb,21_simRNA_2_rpr.pdb,0.54,0.66,0.45,0.0,0.55,0.38,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_2_rpr.pdb,0.54,0.66,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_1_rpr.pdb,0.52,0.61,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_7_rpr.pdb,0.52,0.63,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_RNAComposer_2_rpr.pdb,0.52,0.57,0.57,0.0,0.55,0.6,0.0,0.0
21_solution_2_rpr.pdb,21_RW3D_5_rpr.pdb,0.5,0.58,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_simRNA_3_rpr.pdb,0.5,0.61,0.4,0.0,0.46,0.36,0.0,0.0
21_solution_2_rpr.pdb,21_simRNA_5_rpr.pdb,0.5,0.61,0.4,0.0,0.46,0.36,0.0,0.0
21_solution_2_rpr.pdb,21_simRNA_1_rpr.pdb,0.5,0.58,0.47,0.0,0.55,0.4,0.0,0.0
21_solution_2_rpr.pdb,21_RNAComposer_5_rpr.pdb,0.49,0.55,0.55,0.0,0.55,0.55,0.0,0.0
21_solution_2_rpr.pdb,21_Sanbonmatsu_1_rpr.pdb,0.48,0.5,0.57,0.0,0.55,0.6,0.0,0.0
21_solution_2_rpr.pdb,21_Sanbonmatsu_2_rpr.pdb,0.48,0.5,0.57,0.0,0.55,0.6,0.0,0.0
21_solution_2_rpr.pdb,21_Sanbonmatsu_3_rpr.pdb,0.48,0.52,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_Sanbonmatsu_4_rpr.pdb,0.48,0.52,0.52,0.0,0.55,0.5,0.0,0.0
21_solution_2_rpr.pdb,21_3dRNA_3_rpr.pdb,0.46,0.48,0.6,0.0,0.36,1.0,0.0,0.0
21_solution_2_rpr.pdb,21_RNAComposer_1_rpr.pdb,0.45,0.54,0.43,0.13,0.36,0.5,0.12,0.14
21_solution_2_rpr.pdb,21_3dRNA_2_rpr.pdb,0.43,0.45,0.6,0.0,0.36,1.0,0.0,0.0
21_solution_2_rpr.pdb,21_3dRNA_1_rpr.pdb,0.4,0.41,0.6,0.0,0.36,1.0,0.0,0.0
