Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
3dRNA_1,12.843,36.687,0.35,0.577,0,0.325,37.59,2.60E-02,30.61,2
3dRNA_2,13.272,39.487,0.336,0.516,0,0.336,46.62,4.41E-02,31.68,2
3dRNA_3,12.48,25.418,0.491,0.577,0,0.582,0,1.60E-02,27.41,1
3dRNA_4,18.73,36.319,0.516,0.609,0,0.575,1.51,9.08E-01,27.71,2
3dRNA_5,18.298,33.119,0.552,0.639,0,0.611,0.75,8.61E-01,24.8,2
Adamiak_1,4.612,8.002,0.576,0.917,0,0.522,11.28,3.59E-11,19.91,2
Adamiak_2,4.616,8.008,0.576,0.917,0.25,0.482,10.53,3.64E-11,19.63,2
Adamiak_3,4.573,7.92,0.577,0.92,0.224,0.494,8.27,3.11E-11,21,3
Adamiak_4,4.506,7.702,0.585,0.957,0.25,0.482,13.53,2.42E-11,18.69,2
Adamiak_5,5.503,9.398,0.586,0.957,-,0.511,12.03,8.64E-10,19.15,1
RNAComposer_1,14.714,33.667,0.437,0.462,0.183,0.487,14.29,1.83E-01,20.51,3
RNAComposer_2,18.022,32.619,0.552,0.674,0,0.599,9.02,8.25E-01,11.35,2
RNAComposer_3,12.117,19.581,0.619,0.957,0,0.577,18.05,9.46E-03,17.34,2
RNAComposer_4,12.994,21.959,0.592,0.957,0,0.549,9.02,3.14E-02,17.15,2
RNAComposer_5,16.786,35.649,0.471,0.639,0,0.484,6.02,5.98E-01,12.87,2
RW3D_1,17.732,36.856,0.481,0.56,0,0.55,9.02,7.80E-01,13.59,2
RW3D_10,15.992,28.466,0.562,0.583,0,0.669,10.53,4.23E-01,12.19,2
RW3D_2,15.984,31.187,0.512,0.583,0,0.599,8.27,4.21E-01,12.73,2
RW3D_3,17.609,34.36,0.512,0.56,0,0.599,8.27,7.59E-01,13.69,2
RW3D_4,18.021,32.328,0.557,0.583,0,0.667,7.52,8.25E-01,13.33,2
RW3D_5,17.931,39.469,0.454,0.583,0,0.498,6.02,8.11E-01,12.97,2
RW3D_6,16.772,30.677,0.547,0.583,0,0.66,4.51,5.94E-01,12.75,2
RW3D_7,17.892,33.515,0.534,0.54,0,0.647,11.28,8.05E-01,12.86,2
RW3D_8,17.469,34.086,0.512,0.609,0,0.599,5.26,7.34E-01,12.96,2
RW3D_9,17.808,31.243,0.57,0.609,0,0.656,3.01,7.92E-01,13.46,2
simRNA_1,11.845,26.7,0.444,0.433,0,0.524,116.45,6.24E-03,13.39,1
simRNA_2,11.481,21.115,0.544,0.49,-,0.638,116.54,3.46E-03,15.75,2
simRNA_3,13.107,24.904,0.526,0.463,0,0.637,117.56,3.61E-02,18.17,1
simRNA_4,10.566,20.692,0.511,0.433,-,0.613,118.53,6.67E-04,16.85,2
simRNA_5,13.107,24.904,0.526,0.463,0,0.637,117.56,3.61E-02,18.17,1
