target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
1_solution_0_rpr.pdb.outCR,1_das_2_rpr.pdb.outCR,0.837,0.000,0.941,0.447,0.941,0.941,0.500,0.400
1_solution_0_rpr.pdb.outCR,1_das_1_rpr.pdb.outCR,0.910,0.000,0.972,0.671,1.000,0.944,0.750,0.600
1_solution_0_rpr.pdb.outCR,1_bujnicki_4_rpr.pdb.outCR,0.709,0.000,0.840,0.250,0.706,1.000,0.250,0.250
1_solution_0_rpr.pdb.outCR,1_bujnicki_3_rpr.pdb.outCR,0.874,0.000,0.910,0.707,0.882,0.938,0.500,1.000
1_solution_0_rpr.pdb.outCR,1_bujnicki_5_rpr.pdb.outCR,0.701,0.000,0.840,0.378,0.706,1.000,0.500,0.286
1_solution_0_rpr.pdb.outCR,1_chen_1_rpr.pdb.outCR,0.873,0.000,0.970,0.000,0.941,1.000,0.000,0.000
1_solution_0_rpr.pdb.outCR,1_bujnicki_1_rpr.pdb.outCR,0.930,0.000,0.972,0.750,1.000,0.944,0.750,0.750
1_solution_0_rpr.pdb.outCR,1_bujnicki_2_rpr.pdb.outCR,0.830,0.000,0.941,0.289,0.941,0.941,0.250,0.333
1_solution_0_rpr.pdb.outCR,1_solution_0_rpr.pdb.outCR,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1_solution_0_rpr.pdb.outCR,1_dokholyan_1_rpr.pdb.outCR,0.905,0.000,0.970,0.671,0.941,1.000,0.750,0.600
1_solution_0_rpr.pdb.outCR,1_das_4_rpr.pdb.outCR,0.930,0.000,0.970,0.816,0.941,1.000,1.000,0.667
1_solution_0_rpr.pdb.outCR,1_santalucia_1_rpr.pdb.outCR,0.927,0.000,1.000,0.577,1.000,1.000,0.500,0.667
1_solution_0_rpr.pdb.outCR,1_das_5_rpr.pdb.outCR,0.905,0.000,0.941,0.750,0.941,0.941,0.750,0.750
1_solution_0_rpr.pdb.outCR,1_das_3_rpr.pdb.outCR,0.977,0.000,1.000,0.894,1.000,1.000,1.000,0.800
1_solution_0_rpr.pdb.outCR,1_major_1_rpr.pdb.outCR,0.901,0.000,0.970,0.577,0.941,1.000,0.500,0.667
